,Project,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Street,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District
72,FOURTH AVENUE RESIDENCES,10.0,10.0,10.0,CCR,9,NIL,1.3301031379017398,103.796830764171,FOURTH AVENUE,46.43,168,78,10
73,TREASURE AT TAMPINES,18.0,18.0,18.0,OCR,289,528457,1.34425932289797,103.949073592994,TAMPINES LANE,58.98,490,289,18
74,EDEN RESIDENCES CAPITOL,6.0,6.0,6.0,CCR,0,178884,1.2929881833109198,103.85104659785499,STAMFORD ROAD,41.03,39,16,6
75,FERRA,9.0,9.0,9.0,CCR,0,239219,1.29930788596275,103.832399949956,LEONIE HILL,0.0,33,0,9
76,ARENA RESIDENCES,14.0,14.0,14.0,RCR,4,399915,1.30967685823487,103.880642764235,GUILLEMARD CRESCENT,71.43,70,50,14
77,SIXTEEN35 RESIDENCES,14.0,14.0,14.0,RCR,0,387946,1.31547407018064,103.888827552085,LORONG 35 GEYLANG,100.0,60,60,14
78,WATERCOVE,27.0,27.0,27.0,OCR,1,757529,1.46159897669945,103.839537620712,WAK HASSAN DRIVE,94.59,74,70,27
79,RIVERCOVE RESIDENCES,19.0,19.0,19.0,OCR,1,544594,1.39351688107242,103.88364325964899,ANCHORVALE LANE,98.73,628,620,19
80,120 GRANGE,10.0,10.0,10.0,CCR,0,249600,1.29997909930356,103.82552281449199,GRANGE ROAD,90.0,50,45,10
81,JUI RESIDENCES,12.0,12.0,12.0,RCR,3,328231,1.3262687072764698,103.86614267361401,SERANGOON ROAD,42.74,117,50,12
82,ONE DRAYCOTT,10.0,10.0,10.0,CCR,0,259385,1.31008460714388,103.83071567633301,DRAYCOTT PARK,4.69,64,3,10
83,HARBOUR VIEW GARDENS,5.0,5.0,5.0,RCR,0,118584,1.27907327646797,103.78493242829398,PASIR PANJANG ROAD,98.25,57,56,5
84,38 JERVOIS,10.0,10.0,10.0,CCR,0,249078,1.2940944649806598,103.82271555485201,JERVOIS ROAD,37.04,27,10,10
85,THE TAPESTRY,18.0,18.0,18.0,OCR,30,528512,1.35339102396781,103.929017486717,TAMPINES STREET 86,87.43,700,612,18
86,MARINA ONE RESIDENCES,1.0,1.0,1.0,CCR,10,018979,1.2772242561628702,103.853694940241,MARINA WAY,85.39,671,573,1
87,AMBER 45,15.0,15.0,15.0,RCR,0,439886,1.30234997893114,103.90126790076799,AMBER ROAD,82.5,120,99,15
88,JADESCAPE,20.0,20.0,20.0,RCR,11,575749,1.3518148538389998,103.838298222332,SHUNFU ROAD,80.21,480,385,20
89,THE ENCLAVE . HOLLAND,10.0,10.0,10.0,CCR,0,278569,1.3121352205859398,103.79901103753099,HOLLAND ROAD,100.0,10,10,10
