Project,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth
RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1
CASHEW GREEN,54.55,11,6,23,CASHEW ROAD,23.0,23.0,23.0,OCR,0
SOL ACRES,100.0,1327,1327,23,CHOA CHU KANG GROVE,23.0,23.0,23.0,OCR,0
THE ESSENCE,7.14,84,6,26,CHONG KUO ROAD,26.0,26.0,26.0,OCR,6
10 EVELYN,7.14,56,4,11,EVELYN ROAD,11.0,11.0,11.0,CCR,0
TK ONE,0.0,5,0,15,LORONG N TELOK KURAU,15.0,15.0,15.0,OCR,0
AFFINITY AT SERANGOON,74.0,650,481,19,SERANGOON NORTH AVENUE 1,19.0,19.0,19.0,OCR,50
SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0
RIVERFRONT RESIDENCES,78.17,1200,938,19,HOUGANG AVENUE 7,19.0,19.0,19.0,OCR,55
CITY GATE,100.0,311,311,7,BEACH ROAD,7.0,7.0,7.0,RCR,0
33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0
12 ON SHAN,0.0,30,0,12,SHAN ROAD,12.0,12.0,12.0,RCR,0
LANDED HOUSING DEVELOPMENT,44.44,9,4,26,MENG SUAN ROAD,26.0,26.0,26.0,OCR,0
ALANA,88.46,26,23,28,SUNRISE TERRACE,28.0,28.0,28.0,OCR,0
KENT RIDGE HILL RESIDENCES,60.8,250,152,5,SOUTH BUONA VISTA ROAD,5.0,5.0,5.0,RCR,14
THE GARDEN RESIDENCES,78.85,156,123,19,SERANGOON NORTH VIEW,19.0,19.0,19.0,OCR,29
ONE TREE HILL COLLECTION,75.0,4,3,10,JALAN ARNAP/ONE TREE HILL/JALAN KELAWAR,10.0,10.0,10.0,CCR,0
THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8
LINK RESIDENCE @ HOLLAND,0.0,2,0,10,GREENLEAF ROAD,10.0,10.0,10.0,CCR,0
RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2
DAINTREE RESIDENCE,58.75,80,47,21,TOH TUCK ROAD,21.0,21.0,21.0,RCR,0
FOURTH AVENUE RESIDENCES,46.43,168,78,10,FOURTH AVENUE,10.0,10.0,10.0,CCR,9
TREASURE AT TAMPINES,58.98,490,289,18,TAMPINES LANE,18.0,18.0,18.0,OCR,289
EDEN RESIDENCES CAPITOL,41.03,39,16,6,STAMFORD ROAD,6.0,6.0,6.0,CCR,0
FERRA,0.0,33,0,9,LEONIE HILL,9.0,9.0,9.0,CCR,0
ARENA RESIDENCES,71.43,70,50,14,GUILLEMARD CRESCENT,14.0,14.0,14.0,RCR,4
