Postal,Latitude,Longitude,Project,Street
426305,1.31834249513064,103.913246127906,105 LORONG G,LORONG G TELOK KURAU
118610,1.28094771760364,103.783546603867,THE ORIENT,PASIR PANJANG ROAD
258331,1.30868571356692,103.828049955089,THE VANTAGE,ORANGE GROVE ROAD
437278,1.30751139870453,103.899998747467,SERAYA VILLE,SERAYA LANE
649824,1.3422675176549,103.716270247824,LAKEHOLMZ,CORPORATION ROAD
309776,1.31829562143799,103.841063256174,BUCKLEY 18,BUCKLEY ROAD
257940,1.31550047383756,103.825624186108,STEVENS SUITES,STEVENS CLOSE
229747,1.30899132013921,103.838284668111,THE CAIRNHILL,CAIRNHILL RISE
459839,1.31271362855943,103.922879523567,FRANKEL ESTATE,BURNFOOT TERRACE
546143,1.36315342571197,103.874411909823,ROSYTH LODGE,ROSYTH ROAD
239192,1.29702570945538,103.834037605434,LEONIE CONDOTEL,LEONIE HILL ROAD
309762,1.3172002880289,103.840532786809,BUCKLEY RESIDENCE,BUCKLEY ROAD
339098,1.30963804234286,103.869220196792,THE RIVERINE BY THE PARK,KALLANG ROAD
NIL,1.32861983467094,103.9070130041,,FOO KIM LIN ROAD
NIL,1.30859453627238,103.824813730926,,NASSIM ROAD
228157,1.30185681491485,103.847679670135,STARFIRE @ SOPHIA,SOPHIA ROAD
398425,1.31286931612856,103.885753141885,EDENZ SUITES,LORONG 28 GEYLANG
NIL,1.30956891784175,103.861562343884,,HORNE ROAD
399764,1.31157419328898,103.885827882636,CASSIA EDGE,GUILLEMARD ROAD
NIL,1.36725988585028,103.881961107423,,ROBEY CRESCENT
575630,1.35319482964496,103.835564593057,THOMSON V ONE,SIN MING ROAD
426235,1.31683501739241,103.910080618576,PRESTIGE RESIDENCE,LORONG G TELOK KURAU
238291,1.29380093107285,103.842145033288,RV POINT,RIVER VALLEY ROAD
229790,1.30770638642761,103.837966118054,THE PROMONT,CAIRNHILL CIRCLE
327849,1.32862584566184,103.865133145358,SUITES @ TOPAZ,TOPAZ ROAD
NIL,1.44389176016087,103.826609664814,D'BANYAN,JALAN SENDUDOK
NIL,1.30983610080383,103.802924720333,HOLLAND HILL LODGE,HOLLAND HILL
127728,1.31854121399817,103.754055186446,BOTANNIA,WEST COAST PARK
534957,1.34633202933822,103.880240670377,BAYOU RESIDENCE,UPPER PAYA LEBAR ROAD
119010,1.28736744955365,103.793148015718,NORMANTON PARK,NORMANTON PARK
269678,1.31245111339638,103.800663605201,THE CORNWALL,CORNWALL GARDENS
239855,1.29884647201806,103.837351959315,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD
489929,1.32847324320349,103.95135621615,STRATFORD COURT,BEDOK RIA CRESCENT
257722,1.30816131561975,103.820189431467,BOTANIC GARDENS MANSION,TAMAN SERASI
NIL,1.31796751419662,103.937189736127,,SENNETT PLACE
NIL,1.33011350321669,103.811597596729,THE PARK VALE,PARK VALE
078878,1.27517000041485,103.844496391516,ICON,GOPENG STREET
329731,1.32297705868269,103.852811284107,BALESTIER 288,BALESTIER ROAD
NIL,1.31157173311133,103.859328437225,,JALAN BESAR
228030,1.30267880191914,103.849308285595,WILKIE REGENCY,WILKIE TERRACE
NIL,1.31197059624454,103.929076198228,,TAY LIAN TECK DRIVE
486063,1.33265404976409,103.941967252939,TANAMERA CREST,PARI DEDAP WALK
544782,1.36862891294022,103.876930253453,TERRASSE,TERRASSE LANE
589488,1.33772750116804,103.780072604798,JARDIN,DUNEARN ROAD
NIL,1.31420436728367,103.878566899252,,LORONG 17 GEYLANG
419977,1.31817526770851,103.909292082346,MERA EAST,CHANGI ROAD
298090,1.32302176043309,103.82529938582,THE TREVOSE,TREVOSE CRESCENT
NIL,1.31604433910909,103.82816250241,,BALMORAL PARK
219384,1.31351026234073,103.848372065079,THE URBANITE,HERTFORD ROAD
576439,1.36056129382807,103.831322647843,COUNTRY GRANDEUR,LORONG PUNTONG
417061,1.31980049588128,103.909597733665,SERENITY TERRACE,LORONG MARZUKI
426049,1.31570830110217,103.908882701488,H RESIDENCES,LORONG H TELOK KURAU
349935,1.3330167230209,103.877378391572,SENNETT ESTATE,BELIMBING AVENUE
169382,1.27610899554294,103.835487616983,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD
437871,1.29825202663284,103.887049335154,THE VIEW @ MEYER,MEYER ROAD
239347,1.29344961581058,103.838888915765,OLEANAS RESIDENCE,KIM YAM ROAD
NIL,1.32515831030821,103.797982290599,,NAMLY VIEW
277205,1.31555944494897,103.779325029292,MOUNT SINAI,MOUNT SINAI AVENUE
117382,1.29004669718387,103.777699133755,WHITEHAVEN,PASIR PANJANG ROAD
389779,1.31623494982416,103.884417981377,CENTRAL GROVE,GEYLANG EAST AVENUE 1
NIL,1.30982421000159,103.923305002329,,EAST COAST AVENUE
506861,1.35588599347411,103.965304613692,PARC OLYMPIA,FLORA DRIVE
NIL,1.31101430592228,103.859750607839,,TYRWHITT ROAD
NIL,1.32217138336912,103.836736937941,,CHANCERY LANE
288407,1.32731952558619,103.812831770778,18 SHELFORD,SHELFORD ROAD
NIL,1.28915188508084,103.839607614144,,HAVELOCK ROAD
398231,1.31277802349796,103.887651557664,GEYLANG HERITAGE,LORONG 34 GEYLANG
425767,1.31337005210125,103.914756218153,SUNNY PARC,LORONG K TELOK KURAU
388792,1.31284573698828,103.875936409716,CENTRA RESIDENCE,LORONG 7 GEYLANG
NIL,1.34600645367468,103.860966504743,,DUNSFOLD DRIVE
738331,1.4284654302146,103.779967866717,PINEWOOD TERRACE,PINEWOOD GROVE
427710,1.30450883144846,103.905450923104,CORALIS,JOO CHIAT ROAD
NIL,1.31411725635828,103.847835094641,,CAMBRIDGE ROAD
596289,1.33521989433289,103.7818413386,THE STERLING,BUKIT TIMAH ROAD
248480,1.30030869965275,103.815442859196,TANGLIN PARK,RIDLEY PARK
489532,1.34007345139914,103.955337554307,MISTRAL PARK,HARVEY AVENUE
117621,1.2912341999871,103.76933030729,PALM GREEN,PASIR PANJANG ROAD
458970,1.3082725776305,103.919003097595,OCEAN PARK,EAST COAST ROAD
257525,1.3171555477413,103.80873589379,WOOLLERTON PARK,WOOLLERTON PARK
467170,1.32140305802815,103.950888897341,KEW PLACE,SALAM WALK
NIL,1.34460793944103,103.86208004754,MUSWELL VILLAS,MUSWELL HILL
257902,1.31793261309936,103.826490591477,STEVENS LOFT,STEVENS DRIVE
NIL,1.35912979107478,103.761230866149,,JALAN DERMAWAN
NIL,1.31250640626751,103.782747099024,HOLLAND GROVE,HOLLAND GROVE VIEW
737892,1.43219083618148,103.79745091654,LA CASA,WOODLANDS DRIVE 16
239105,1.2972739121037,103.839834444633,BRENTWOOD,LLOYD ROAD
259792,1.31451692855571,103.832206862807,BALMORAL 8,BALMORAL ROAD
768896,1.43313808496257,103.84139499637,NINE RESIDENCES,YISHUN AVENUE 9
387982,1.31514147457983,103.888042831488,DELIGHT COURT,LORONG 33 GEYLANG
248209,1.29488382877101,103.828087328414,RV EDGE,SHANGHAI ROAD
609481,1.34552872941251,103.733640541596,THE MAYFAIR,JURONG EAST STREET 32
668805,1.36018944461119,103.76043525847,HILLVIEW ESTATE,JALAN INTAN
218437,1.31660769082394,103.853325843807,CITIGATE RESIDENCE,RANGOON ROAD
398240,1.31225825686548,103.888161768505,CENTRAL MEADOWS,LORONG 34 GEYLANG
329141,1.32755515564558,103.848878899043,RAJAH TOWERS,JALAN RAJAH
278473,1.30812984429904,103.798980786438,CHIP BEE GARDENS,JALAN HITAM MANIS
248201,1.2961398605664,103.827231792499,THE MERCURY,SHANGHAI ROAD
NIL,1.39710020359876,103.872497067009,,JALAN TARI SERIMPI
NIL,1.32132770207488,103.823071476404,,BUKIT TIMAH ROAD
425244,1.31087631734701,103.915485073734,EMPRADO SUITES,LORONG N TELOK KURAU
319771,1.33335004690135,103.844102860065,OLEANDER TOWERS,LORONG 1 TOA PAYOH
259953,1.308759844145,103.829643355814,JUNIPER AT ARDMORE,ARDMORE PARK
417030,1.3237471561912,103.909135122768,BLISS VILLE,LORONG MELAYU
308186,1.32337432256357,103.850380826925,MEDGE,MINBU ROAD
518183,1.37617625629393,103.960488443697,SEASTRAND,PASIR RIS LINK
NIL,1.35815701716927,103.825977566253,WINDSOR PARK ESTATE,JUPITER ROAD
427028,1.31224851481908,103.904537964692,EAST COURT,KOON SENG ROAD
238306,1.29468505172314,103.84140602426,VALLEY LODGE,RIVER VALLEY ROAD
229668,1.30752603018388,103.836488260685,ELIZABETH HEIGHTS,CAIRNHILL ROAD
259710,1.3174781289552,103.833282669164,MARTINA MANSIONS,BUKIT TIMAH ROAD
NIL,1.30252972629239,103.805976008364,,SWETTENHAM ROAD
169253,1.28475114535983,103.829329700844,KAI FOOK MANSION,KIM TIAN ROAD
579487,1.37597276418387,103.827871053561,SEMBAWANG HILLS ESTATE,CASUARINA ROAD
NIL,1.34673314830891,103.787953427238,,BUKIT AYER MOLEK
228714,1.30652212866479,103.846587371813,THE MKZ,MACKENZIE ROAD
506851,1.35596896951349,103.966315676876,THE INFLORA,FLORA DRIVE
307781,1.31424399820093,103.844686729742,SUFFOLK PREMIER,SUFFOLK ROAD
NIL,1.31278553344195,103.871603296551,,LORONG 1 GEYLANG
249367,1.30055636446196,103.826090657694,KIM LIN PARK,JALAN ARNAP
298127,1.32709133164713,103.841978573745,368 THOMSON,THOMSON ROAD
478936,1.33740523104562,103.935708276252,AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW
555621,1.35583473160481,103.859145080961,TAI HWAN PARK,TAI HWAN CRESCENT
