Postal,Latitude,Longitude,Project,Street,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District
437988,1.29824018210279,103.886163635826,ONE MEYER,MEYER PLACE,15.15,66,10,15
408974,1.31827649910386,103.90261961113701,PARC ESTA,SIMS AVENUE,87.82,550,483,14
358461,1.3307568069743898,103.867230643479,THE ADDITION,MEYAPPA CHETTIAR ROAD,73.08,26,19,13
439858,1.29985812336731,103.898478990238,NYON,AMBER ROAD,4.35,92,4,15
804279,1.37972739819928,103.864676372987,BELGRAVIA GREEN,BELGRAVIA DRIVE,81.63,49,40,28
268592,1.32317393945878,103.79508276788,ALIAS VILLAS,JALAN HAJI ALIAS,0.0,6,0,10
309461,1.31627067397227,103.845722112332,FYVE DERBYSHIRE,DERBYSHIRE ROAD,16.67,36,6,11
068814,1.27708340707632,103.849181343548,V ON SHENTON,SHENTON WAY,90.2,500,451,1
NIL,1.31798394169402,103.815269790283,BOTANIC @ CLUNY PARK,CLUNY PARK ROAD,50.0,6,3,10
149457,1.29433666746303,103.807020127351,QUEENS PEAK,DUNDEE ROAD,94.7,736,697,3
804450,1.3798047278010201,103.864127655266,NIM COLLECTION,NIM RISE,72.45,98,71,28
423844,1.31101225037146,103.91104219781602,RESIDENCE TWENTY-TWO,TELOK KURAU ROAD,4.55,22,1,15
679661,1.3727823351997301,103.76955925269002,CASHEW GREEN,CASHEW ROAD,54.55,11,6,23
688215,1.3769578274382601,103.75020070991998,SOL ACRES,CHOA CHU KANG GROVE,100.0,1327,1327,23
779830,1.40345527031332,103.81716606382,THE ESSENCE,CHONG KUO ROAD,7.14,84,6,26
309312,1.316154918304,103.840533848314,10 EVELYN,EVELYN ROAD,7.14,56,4,11
425269,1.31014704779659,103.91112045076,TK ONE,LORONG N TELOK KURAU,0.0,5,0,15
554335,1.36579434950751,103.87450387523,AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,74.0,650,481,19
466522,1.31506384580924,103.94314173038201,SEA PAVILION RESIDENCES,UPPER EAST COAST ROAD,100.0,24,24,16
533842,1.37220805247662,103.90025739134501,RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,78.17,1200,938,19
199597,1.30231590504577,103.86233166103399,CITY GATE,BEACH ROAD,100.0,311,311,7
398366,1.3119808352828501,103.886532676904,33 RESIDENCES,LORONG 30 GEYLANG,100.0,27,27,14
328105,1.3247872620768202,103.846354106513,12 ON SHAN,SHAN ROAD,0.0,30,0,12
NIL,1.40352260909138,103.81377231305099,LANDED HOUSING DEVELOPMENT,MENG SUAN ROAD,44.44,9,4,26
804526,1.38909481421222,103.855457964932,ALANA,SUNRISE TERRACE,88.46,26,23,28
NIL,1.28679715459693,103.784658343144,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,60.8,250,152,5
554348,1.36598986764595,103.87073580741301,THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,78.85,156,123,19
249380,1.30106116599644,103.825496966252,ONE TREE HILL COLLECTION,JALAN ARNAP,75.0,4,3,10
506765,1.3573936395466202,103.96596914554199,THE JOVELL,FLORA DRIVE,26.8,250,67,17
279353,1.32202720700895,103.78682746009399,LINK RESIDENCE @ HOLLAND,GREENLEAF ROAD,0.0,2,0,10
238385,1.29653566001894,103.83517945905001,RV ALTITUDE,RIVER VALLEY ROAD,33.33,63,21,9
