,Project_x,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District_x,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Project_y,District_y,Rent,PricePerSqft
57,THE ADDITION,73.08,26,19,13,MEYAPPA CHETTIAR ROAD,13.0,13.0,13.0,RCR,2,358458,1.33057571803681,103.867633781248,AO JIANG APARTMENTS,19.0,2500.0,2.5
58,THE ADDITION,73.08,26,19,13,MEYAPPA CHETTIAR ROAD,13.0,13.0,13.0,RCR,2,358459,1.33067325977267,103.867454592316,RIDGE COURT,8.0,3000.0,2.73
59,THE ADDITION,73.08,26,19,13,MEYAPPA CHETTIAR ROAD,13.0,13.0,13.0,RCR,2,358464,1.33089008745422,103.86689665078,CASA MEYA,9.0,3000.0,3.75
60,183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD,20.0,20.0,20.0,RCR,0,NIL,1.3755993092840002,103.828438921519,,,,
61,183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD,20.0,20.0,20.0,RCR,0,574418,1.3717569736134,103.828179854072,PEIRCE VIEW,21.0,4200.0,3.0
62,183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD,20.0,20.0,20.0,RCR,0,NIL,1.3755993092840002,103.828438921519,LAKEVIEW ESTATE,19.0,3000.0,3.0
63,183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD,20.0,20.0,20.0,RCR,0,574424,1.35184499157064,103.83605364829201,THOMSON IMPERIAL COURT,10.0,8000.0,3.64
64,183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD,20.0,20.0,20.0,RCR,0,NIL,1.3755993092840002,103.828438921519,,,,
65,183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD,20.0,20.0,20.0,RCR,0,787133,1.38135605941275,103.82742465911501,MEADOWS @ PEIRCE,9.0,2600.0,3.71
66,183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD,20.0,20.0,20.0,RCR,0,574409,1.35665447059555,103.828736711218,THREE 11,9.0,3200.0,4.0
67,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,459108,1.31205928208955,103.924449849436,THE DOMAIN,13.0,6500.0,1.44
68,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,458970,1.3082725776305,103.91900309759501,OCEAN PARK,21.0,2650.0,1.89
