Postal,Latitude,Longitude,Project,Street,District,Rent,PricePerSqft
578567,1.3534402799248302,103.847291026359,MING PARK,JALAN BINCHANG,27.0,6400.0,1.6
416851,1.3221883784452901,103.911236681609,SMAILING COURT,LORONG MYDIN,27.0,2100.0,1.62
426225,1.3175483875815601,103.909467717459,PALM VISTA,LORONG G TELOK KURAU,23.0,2300.0,1.64
249726,1.30441566746196,103.82607991656799,THE TOMLINSON,CUSCADEN ROAD,22.0,2300.0,1.64
409286,1.31478689719772,103.893472115119,CITY PLAZA,GEYLANG ROAD,28.0,3300.0,1.65
329552,1.32531433133889,103.846132850377,THE CENTRIO,IRRAWADDY ROAD,15.0,3300.0,1.65
398495,1.3117801192690401,103.88460577010599,28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,15.0,3300.0,1.65
NIL,1.3141784606846698,103.836719496223,,SARKIES ROAD,,,
257652,1.3132735092915402,103.827444712789,CHELSEA GARDENS,WALSHE ROAD,15.0,8300.0,1.66
NIL,1.29216567699524,103.84070515757799,,KIM YAM ROAD,,,
NIL,1.3096937359944398,103.85740802627501,VICTORIA APARTMENTS,KITCHENER ROAD,15.0,8300.0,1.66
NIL,1.3518052498335298,103.874438579112,,RECREATION LANE,,,
NIL,1.3249680601467,103.853949482749,,LORONG LIMAU,,,
298071,1.32468844258344,103.825744160137,TREVOSE PARK,TREVOSE CRESCENT,10.0,7500.0,1.67
544730,1.3628783620321399,103.885625646523,KOVAN REGENCY,KOVAN RISE,10.0,7500.0,1.67
NIL,1.3184242531983401,103.909266001012,MILLAGE,CHANGI ROAD,10.0,7500.0,1.67
278741,1.30909458705389,103.80217303972401,HOLLAND PEAK,HOLLAND HILL,20.0,2500.0,1.67
528829,1.35821734471439,103.933307493228,PINEVALE,TAMPINES STREET 73,22.0,2500.0,1.67
238352,1.29632425592327,103.84145161370199,VILLE ROYALE,RIVER VALLEY ROAD,13.0,2500.0,1.67
547810,1.3635187604290802,103.88802017716299,HARMONY @ 1A,LIM AH PIN ROAD,23.0,3500.0,1.67
NIL,1.39162918005381,103.903753335865,ST ANNE'S WOOD,ANNE'S WOOD,15.0,5000.0,1.67
NIL,1.3544457732556299,103.886808571048,PRIMO RESIDENCES,JALAN PELIKAT,16.0,2500.0,1.67
NIL,1.33172304679508,103.88068783179199,,MACPHERSON ROAD,,,
228170,1.30250944227048,103.846319209818,CASA SOPHIA,SOPHIA ROAD,14.0,2350.0,1.68
425692,1.31336049179577,103.911481522688,HEJI GARDENS,LORONG K TELOK KURAU,11.0,9250.0,1.68
248973,1.2959364581186499,103.82984981515699,THE ASTON,KAY POH ROAD,23.0,2550.0,1.7
479242,1.33715340314037,103.932225862497,BAYWATER,BEDOK RESERVOIR ROAD,19.0,6800.0,1.7
NIL,1.3251887125183799,103.824042450877,,BERRIMA ROAD,,,
669608,1.3562871429172798,103.75978376028,MERAWOODS,HILLVIEW AVENUE,15.0,2900.0,1.71
088661,1.27603511606191,103.837502046362,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,23.0,2400.0,1.71
428693,1.31404973124037,103.902183319788,LOTUS AT JOO CHIAT,EVERITT ROAD,22.0,2400.0,1.71
308353,1.3153231258556002,103.843055868846,THE LINCOLN MODERN,LINCOLN ROAD,22.0,2400.0,1.71
NIL,1.24931960879949,103.838105107381,,LAKESHORE VIEW,,,
NIL,1.3173965433053,103.799658638562,,BELMONT ROAD,,,
NIL,1.31591849348779,103.91170533989201,,JOO CHIAT AVENUE,,,
426305,1.3183424951306397,103.91324612790599,105 LORONG G,LORONG G TELOK KURAU,21.0,2600.0,1.73
118610,1.28094771760364,103.783546603867,THE ORIENT,PASIR PANJANG ROAD,16.0,2250.0,1.73
258331,1.3086857135669199,103.828049955089,THE VANTAGE,ORANGE GROVE ROAD,14.0,5200.0,1.73
437278,1.30751139870453,103.89999874746701,SERAYA VILLE,SERAYA LANE,18.0,2600.0,1.73
649824,1.3422675176549,103.716270247824,LAKEHOLMZ,CORPORATION ROAD,19.0,2600.0,1.73
309776,1.31829562143799,103.841063256174,BUCKLEY 18,BUCKLEY ROAD,10.0,10500.0,1.75
257940,1.3155004738375602,103.825624186108,STEVENS SUITES,STEVENS CLOSE,12.0,3000.0,1.76
229747,1.3089913201392098,103.838284668111,THE CAIRNHILL,CAIRNHILL RISE,9.0,4400.0,1.76
459839,1.3127136285594299,103.922879523567,FRANKEL ESTATE,BURNFOOT TERRACE,22.0,2300.0,1.77
546143,1.36315342571197,103.874411909823,ROSYTH LODGE,ROSYTH ROAD,22.0,2300.0,1.77
239192,1.2970257094553799,103.83403760543399,LEONIE CONDOTEL,LEONIE HILL ROAD,22.0,2300.0,1.77
309762,1.3172002880288998,103.840532786809,BUCKLEY RESIDENCE,BUCKLEY ROAD,23.0,1950.0,1.77
339098,1.3096380423428602,103.86922019679199,THE RIVERINE BY THE PARK,KALLANG ROAD,23.0,2300.0,1.77
NIL,1.32861983467094,103.9070130041,,FOO KIM LIN ROAD,,,
NIL,1.3085945362723799,103.824813730926,,NASSIM ROAD,,,
228157,1.3018568149148502,103.84767967013501,STARFIRE @ SOPHIA,SOPHIA ROAD,23.0,2500.0,1.79
398425,1.31286931612856,103.88575314188499,EDENZ SUITES,LORONG 28 GEYLANG,15.0,3400.0,1.79
NIL,1.30956891784175,103.86156234388399,,HORNE ROAD,,,
399764,1.31157419328898,103.885827882636,CASSIA EDGE,GUILLEMARD ROAD,22.0,2500.0,1.79
NIL,1.36725988585028,103.881961107423,,ROBEY CRESCENT,,,
575630,1.3531948296449599,103.835564593057,THOMSON V ONE,SIN MING ROAD,22.0,2500.0,1.79
426235,1.31683501739241,103.91008061857599,PRESTIGE RESIDENCE,LORONG G TELOK KURAU,18.0,2500.0,1.79
238291,1.29380093107285,103.842145033288,RV POINT,RIVER VALLEY ROAD,21.0,2500.0,1.79
