Project,Street,District,Rent,PricePerSqft
NON-LANDED HOUSING DEVELOPMENT,KIM KEAT CLOSE,11,2600,2.6
FORTUNA HILL,HILLSIDE DRIVE,11,2600,2.6
SOMMERVILLE PARK,FARRER DRIVE,13,2600,2.6
ASIA GARDENS,EVERTON ROAD,07,2600,2.6
LANDED HOUSING DEVELOPMENT,ADAM ROAD,10,4700,2.61
GERALD GARDENS,GERALD CRESCENT,18,2350,2.61
EAST SHINE,LORONG MELAYU,10,3400,2.62
THE CLAYMORE,CLAYMORE ROAD,23,3400,2.62
THE BLISS,RACE COURSE ROAD,14,3400,2.62
MALVERN SPRINGS,ONAN ROAD,13,3400,2.62
LAGUNA PARK,MARINE PARADE ROAD,13,3400,2.62
LANDED HOUSING DEVELOPMENT,SWISS CLUB ROAD,13,3400,2.62
EAST PALM,PALM ROAD,20,3400,2.62
VILLA MARTIA,MARTIA ROAD,13,3400,2.62
BLUWATERS 2,JALAN LOYANG BESAR,15,3400,2.62
LIVIA,PASIR RIS GROVE,09,4200,2.63
LE REGAL,GEYLANG ROAD,15,5000,2.63
RV RESIDENCES,RIVER VALLEY ROAD,15,2100,2.63
KENT RESIDENCES,KENT ROAD,20,4200,2.63
BLU CORAL,LORONG L TELOK KURAU,17,2100,2.63
THE SUNFLOWER,LORONG 28 GEYLANG,17,2100,2.63
GUILIN VIEW,BUKIT BATOK STREET 52,17,2100,2.63
Q BAY RESIDENCES,TAMPINES STREET 86,11,5000,2.63
EASTVALE,PASIR RIS DRIVE 3,19,3150,2.63
KIMNAN PARK,JALAN SELAMAT,15,2100,2.63
WHITEWATER,PASIR RIS STREET 72,19,2100,2.63
NASSIM REGENCY,NASSIM ROAD,19,2100,2.63
THE ARECA,BUNGA RAMPAI PLACE,19,2100,2.63
CYAN,KENG CHIN ROAD,19,2100,2.63
CASABLANCA,ROSEWOOD DRIVE,19,2100,2.63
NON-LANDED HOUSING DEVELOPMENT,LORONG 32 GEYLANG,19,2100,2.63
ATTITUDE AT KIM YAM,KIM YAM ROAD,19,2100,2.63
PAPILLON,JALAN RAMA RAMA,19,2100,2.63
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,09,4200,2.63
BEDOK PARK,LIMAU GARDEN,15,3700,2.64
NOVENA REGENCY,THOMSON ROAD,15,2900,2.64
SERAYA 9,SERAYA LANE,23,2900,2.64
BEDOK GROVE,BEDOK RIA TERRACE,23,2900,2.64
8 BASSEIN,BASSEIN ROAD,23,2900,2.64
GALLERY FIFTEEN,JALAN DUSUN,23,2900,2.64
ROBERTSON BLUE,ROBERTSON QUAY,23,2900,2.64
JC VILLE,JOO CHIAT PLACE,03,6346,2.64
BALESTIER PLAZA,BALESTIER ROAD,14,2900,2.64
KERRISDALE,STURDEE ROAD,14,2900,2.64
THE ACACIAS,SOMMERVILLE ROAD,13,2900,2.64
THE PEAK @ CAIRNHILL II,CAIRNHILL CIRCLE,13,2900,2.64
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,09,6600,2.64
RISING SUITES,SARKIES ROAD,13,2900,2.64
WATERMARK ROBERTSON QUAY,RODYK STREET,08,2900,2.64
KIM KEAT HOUSE,KIM KEAT ROAD,09,4500,2.65
NIVEN SUITES,WILKIE TERRACE,19,2650,2.65
NON-LANDED HOUSING DEVELOPMENT,JALAN ARUAN,23,2650,2.65
VENEZIO,UPPER EAST COAST ROAD,23,2650,2.65
THE TERRACE,EDGEDALE PLAINS,20,4500,2.65
FORTUNE PARK,TAMPINES ROAD,11,4500,2.65
NON-LANDED HOUSING DEVELOPMENT,DRAYCOTT DRIVE,15,3450,2.65
CASA RIVIERA,LIM TUA TOW ROAD,13,3450,2.65
LANDED HOUSING DEVELOPMENT,UPPER THOMSON ROAD,09,4250,2.66
THE BALMORAL SPRING,BALMORAL CRESCENT,15,1600,2.67
NASSIM LODGE,NASSIM ROAD,20,4000,2.67
THE LINCOLN RESIDENCES,SURREY ROAD,15,2400,2.67
THE ESPARIS,PASIR RIS DRIVE 4,15,7200,2.67
LANDED HOUSING DEVELOPMENT,MERRYN ROAD,09,12000,2.67
THE TROPIC GARDENS,UPPER EAST COAST ROAD,10,6400,2.67
SHAW PLAZA - TWIN HEIGHTS,BALESTIER ROAD,23,3200,2.67
HAIG GROVE,HAIG AVENUE,15,4000,2.67
HENRY PARK,GROVE DRIVE,15,4000,2.67
HARBOUR SUITES,KAMPONG BAHRU ROAD,14,3200,2.67
THE OXLEY,OXLEY RISE,16,4000,2.67
VILLAS @ GILSTEAD,GILSTEAD ROAD,15,2400,2.67
EQUATORIAL APARTMENTS,MEYER ROAD,15,2400,2.67
LANDED HOUSING DEVELOPMENT,LORONG 26 GEYLANG,14,2400,2.67
NON-LANDED HOUSING DEVELOPMENT,LORONG 41 GEYLANG,14,2400,2.67
JJ'S RESIDENCES @ JERVOIS,JERVOIS ROAD,13,3200,2.67
BARTLEY VILLAS,HOW SUN WALK,11,4000,2.67
IRIDIUM,LINCOLN ROAD,17,1600,2.67
NEPTUNE COURT,MARINE VISTA,19,3200,2.67
GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,19,3200,2.67
IVORY,CEYLON LANE,19,3200,2.67
LILYDALE,YISHUN AVENUE 6,19,2400,2.67
ASTRID MEADOWS,CORONATION ROAD WEST,19,3200,2.67
ST MARTIN'S,ST. MARTIN'S DRIVE,09,8000,2.67
WESTVILLE,WESTWOOD WALK,19,2400,2.67
NON-LANDED HOUSING DEVELOPMENT,ORANGE GROVE ROAD,19,2400,2.67
LANDED HOUSING DEVELOPMENT,JOO CHIAT ROAD,19,1600,2.67
SUITES @ OWEN,OWEN ROAD,08,3200,2.67
THE BERTHSIDE,OCEAN DRIVE,11,2400,2.67
THE VIRIDIAN,JALAN AMPAS,11,3200,2.67
DEDAP GARDENS,DEDAP LINK,20,4800,2.67
CHANCERY ESQUIRE,CHANCERY LANE,10,4000,2.67
SHELFORD GREEN,SHELFORD ROAD,19,2400,2.67
AXIS @ SIGLAP,EAST COAST TERRACE,19,3200,2.67
LANDED HOUSING DEVELOPMENT,GREENLEAF GROVE,16,2400,2.67
BAGNALL COURT,UPPER EAST COAST ROAD,16,2400,2.67
LANDED HOUSING DEVELOPMENT,KING ALBERT PARK,18,4000,2.67
GRACE GARDEN,LORONG L TELOK KURAU,15,2400,2.67
LEITH GROVE,LEITH PARK,07,2400,2.67
EMERALD EAST,TANJONG RHU ROAD,07,2400,2.67
8M RESIDENCES,MARGATE ROAD,05,2400,2.67
CAIRNHILL MANSIONS,CAIRNHILL ROAD,14,4000,2.67
NON-LANDED HOUSING DEVELOPMENT,PENHAS ROAD,15,5900,2.68
SAPPHIRE COURT,LORONG K TELOK KURAU,15,3750,2.68
LANDED HOUSING DEVELOPMENT,CARISBROOKE GROVE,18,4295,2.68
D'EVELYN,EVELYN ROAD,10,3500,2.69
GILSTEAD TWO,GILSTEAD ROAD,10,3500,2.69
PARC VISTA,CORPORATION ROAD,19,3500,2.69
CHESTNUT GARDENS,CHESTNUT GARDENS,23,3500,2.69
EON SHENTON,SHENTON WAY,05,4300,2.69
TRIBECA,KIM SENG ROAD,11,3500,2.69
YISHUN EMERALD,CANBERRA DRIVE,19,2150,2.69
THE EQUATORIAL,STEVENS ROAD,19,2150,2.69
ORCHARD BEL AIR,ORCHARD BOULEVARD,11,3500,2.69
SKY VUE,BISHAN STREET 15,11,3500,2.69
THE LUCENT,LORONG N TELOK KURAU,19,2150,2.69
LANDED HOUSING DEVELOPMENT,JALAN ANGIN LAUT,19,2150,2.69
LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,11,3500,2.69
BOON TECK TOWERS,BOON TECK ROAD,19,2700,2.7
D' CASITA,LORONG MARZUKI,14,2700,2.7
PARC ASTON,LEICESTER ROAD,23,2700,2.7
PEOPLE'S GARDEN,LORONG 5 REALTY PARK,23,2700,2.7
WESTLAKE GARDENS,WESTLAKE AVENUE,15,2700,2.7
LANDED HOUSING DEVELOPMENT,EVERGREEN GARDENS,11,2700,2.7
NON-LANDED HOUSING DEVELOPMENT,LORONG 25A GEYLANG,11,2700,2.7
NOVA 88,BHAMO ROAD,13,2700,2.7
ROBIN RESIDENCES,ROBIN DRIVE,13,2700,2.7
SUI GENERIS,BALMORAL CRESCENT,09,4600,2.71
SENNETT RESIDENCE,PHENG GECK AVENUE,23,1900,2.71
THREE BALMORAL,BALMORAL ROAD,10,3800,2.71
MANDARIN GARDENS,SIGLAP ROAD,15,1900,2.71
BOTANIC GARDENS VIEW,TAMAN SERASI,10,9500,2.71
THE VANDERLINT,CEYLON ROAD,15,1900,2.71
WARNER COURT,HOLLAND AVENUE,15,1900,2.71
THE SHAUGHNESSY,MILTONIA CLOSE,15,1900,2.71
LANDED HOUSING DEVELOPMENT,GOODMAN ROAD,15,1900,2.71
CITY SUITES,BALESTIER ROAD,15,1900,2.71
LA MEYER,MEYER ROAD,23,3800,2.71
VIBES @ EAST COAST,TELOK KURAU ROAD,11,6500,2.71
PARKSHORE,TANJONG RHU ROAD,19,3250,2.71
LEONIE HILL RESIDENCES,LEONIE HILL ROAD,19,3250,2.71
KASTURINA LODGE,KAY POH ROAD,08,3800,2.71
NATHAN RESIDENCES,NATHAN ROAD,23,1900,2.71
NON-LANDED HOUSING DEVELOPMENT,LINCOLN ROAD,09,3800,2.71
MANSIONS 28,LORONG 31 GEYLANG,16,2450,2.72
THE COLONNADE,GRANGE ROAD,20,4900,2.72
LANDED HOUSING DEVELOPMENT,TAMAN SIGLAP,07,2450,2.72
FIFTY-TWO STEVENS,STEVENS ROAD,15,4100,2.73
ST PATRICK'S GREEN,ST. PATRICK'S ROAD,15,4100,2.73
CLIFTEN,EWE BOON ROAD,21,3000,2.73
LA DOLCE VITA,UPPER PAYA LEBAR ROAD,14,3000,2.73
HOLT RESIDENCES,HOLT ROAD,19,3000,2.73
LLYN GARDENS,PAYA LEBAR WALK,19,3000,2.73
E7 LODGE,LORONG MELAYU,19,3000,2.73
EVERITT EDGE,JOO CHIAT PLACE,09,6000,2.73
ISUITES @ MARSHALL,MARSHALL ROAD,08,3000,2.73
1 MOULMEIN RISE,MOULMEIN RISE,05,3000,2.73
THE CENTREN,LORONG 27 GEYLANG,05,3000,2.73
RIDGE COURT,MEYAPPA CHETTIAR ROAD,08,3000,2.73
SERAYA COURT,SERAYA LANE,27,2200,2.75
THE ETAGE,LORONG 34 GEYLANG,23,3300,2.75
WAN THO LODGE,WAN THO AVENUE,16,2200,2.75
ROSEVALE,LINCOLN ROAD,13,3300,2.75
TANGLIN HILL CONDOMINIUM,TANGLIN RISE,17,1650,2.75
RIVIERA POINT,KIM YAM ROAD,10,3300,2.75
NON-LANDED HOUSING DEVELOPMENT,FLOWER ROAD,04,5500,2.75
HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,19,3300,2.75
REGENT PARK,JALAN LEMPENG,19,2200,2.75
BUKIT VILLAS,RASOK DRIVE,19,3300,2.75
TYRWHITT 139,TYRWHITT ROAD,19,2200,2.75
BOON TECK LODGE,BOON TECK ROAD,19,2200,2.75
SERANGOON GARDEN ESTATE,BLANDFORD DRIVE,19,2200,2.75
SUITES @ KOVAN,UPPER SERANGOON ROAD,19,2200,2.75
BANYAN PARK,CHWEE CHIAN ROAD,19,2200,2.75
RIO GARDENS,JALAN TAMAN,19,2200,2.75
AMARANDA GARDENS,SERANGOON AVENUE 3,19,2200,2.75
SUMMER GARDENS,UPPER CHANGI ROAD EAST,08,3300,2.75
SPRING RESIDENCES,EWE BOON ROAD,11,2200,2.75
THE AZURE,OCEAN DRIVE,11,2750,2.75
LANDED HOUSING DEVELOPMENT,KENG LEE ROAD,11,3300,2.75
LANDED HOUSING DEVELOPMENT,CAMBORNE ROAD,10,8000,2.76
LANDED HOUSING DEVELOPMENT,NALLUR ROAD,09,3600,2.77
REZI 3TWO,LORONG 32 GEYLANG,10,3600,2.77
NON-LANDED HOUSING DEVELOPMENT,SOPHIA ROAD,10,8300,2.77
LANDED HOUSING DEVELOPMENT,LORONG G TELOK KURAU,10,8300,2.77
LANDED HOUSING DEVELOPMENT,LORONG M TELOK KURAU,10,8300,2.77
LANDED HOUSING DEVELOPMENT,JALAN KEMAMAN,08,3600,2.77
NOVENA HILL,JALAN NOVENA,08,3600,2.77
ONE SHENTON,SHENTON WAY,15,7500,2.78
ENVIO,JOO CHIAT PLACE,14,2500,2.78
COMPASS HEIGHTS,SENGKANG SQUARE,14,2500,2.78
THE ELEGANCE @ CHANGI,LORONG 107 CHANGI,15,2500,2.78
NON-LANDED HOUSING DEVELOPMENT,BAYSHORE ROAD,10,5000,2.78
ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,19,2500,2.78
LANDED HOUSING DEVELOPMENT,HONG LEE PLACE,19,2500,2.78
NON-LANDED HOUSING DEVELOPMENT,CLEMENTI ROAD,19,2500,2.78
KHEAM HOCK GARDENS,KHEAM HOCK ROAD,11,2500,2.78
HILLVIEW RESIDENCE,HILLVIEW AVENUE,20,5000,2.78
PALM TREE NINES,JALAN HAJI SALAM,13,2500,2.78
NON-LANDED HOUSING DEVELOPMENT,OWEN ROAD,08,2500,2.78
LANDED HOUSING DEVELOPMENT,GREENBANK PARK,15,5300,2.79
CHANGI GARDEN,JALAN MARIAM,10,7800,2.79
NOVENA LODGE,JALAN MERLIMAU,09,3900,2.79
HOMEY GARDENS,LORONG M TELOK KURAU,11,4200,2.8
ST PATRICK'S COURT,ST. PATRICK'S ROAD,19,2800,2.8
THE LINE @ TANJONG RHU,TANJONG RHU ROAD,10,14000,2.8
PALM MANSIONS,PASIR PANJANG ROAD,17,1400,2.8
VERANDA,LORONG K TELOK KURAU,21,2800,2.8
SUITES 28,LORONG 30 GEYLANG,11,7000,2.8
COUNTRY ESQUIRE,LORONG PUNTONG,14,1400,2.8
SARKIES MANSIONS,SARKIES ROAD,15,2800,2.8
LANDED HOUSING DEVELOPMENT,LORONG 3 GEYLANG,09,2800,2.8
SEA AVENUE MANSIONS,SEA AVENUE,19,2800,2.8
DUCHESS GARDEN,DUCHESS AVENUE,19,4200,2.8
WESTPEAK TERRACE,WEST COAST WALK,14,2800,2.8
WOODHAVEN,WOODGROVE AVENUE,05,4500,2.81
NON-LANDED HOUSING DEVELOPMENT,EVERITT ROAD,05,4500,2.81
THE SUNNYDALE,SERANGOON AVENUE 3,19,2250,2.81
PINE VILLAS,JALAN BUMBONG,19,2250,2.81
GRANGE RESIDENCES,GRANGE ROAD,09,4500,2.81
THE VERV @ RV,RIVER VALLEY ROAD,07,2250,2.81
THE EDGE ON CAIRNHILL,CAIRNHILL ROAD,03,3100,2.82
TORIEVIEW MANSIONS,LORONG 29 GEYLANG,10,3100,2.82
PATERSON SUITES,PATERSON ROAD,10,3100,2.82
KIARA 10,LORONG MARZUKI,10,3100,2.82
FRAGRANCE COURT,YEW SIANG ROAD,11,4800,2.82
NON-LANDED HOUSING DEVELOPMENT,LORONG 13 GEYLANG,11,4800,2.82
THE GLADES,BEDOK RISE,19,4800,2.82
PALMERA EAST,LORONG MELAYU,13,3100,2.82
NANYANG PARK,CHUAN HOE AVENUE,09,3100,2.82
VAUGHAN GARDEN,VAUGHAN ROAD,09,4800,2.82
PRESIDENT GARDENS,LENTOR GREEN,05,3100,2.82
SKYPARK,ST. THOMAS WALK,08,3100,2.82
CARMI MANSIONS,LORONG 33 GEYLANG,10,3400,2.83
VICTORY POINT,AVA ROAD,23,1700,2.83
LANDED HOUSING DEVELOPMENT,JALAN TANJONG,15,2550,2.83
MING TECK PARK,MARYLAND DRIVE,23,3400,2.83
MOONSTONE RESIDENCES,MOONSTONE LANE,19,1700,2.83
LUMA,RIVER VALLEY GROVE,11,6500,2.83
CLUNY PARK,CLUNY PARK,17,1700,2.83
THE MERASAGA,JALAN MERAH SAGA,17,1700,2.83
CARISSA PARK CONDOMINIUM,FLORA DRIVE,17,1700,2.83
LITTLE INDIA CONSERVATION AREA,CAMPBELL LANE,17,1700,2.83
WINDY HEIGHTS,JALAN DAUD,17,1700,2.83
TAI KENG GARDENS,JALAN LOKAM,15,1700,2.83
WOODGROVE ESTATE,ASHWOOD GROVE,19,3400,2.83
NON-LANDED HOUSING DEVELOPMENT,CHAPEL CLOSE,19,2550,2.83
VIVACE,TONG WATT ROAD,19,1700,2.83
ROYALE MANSIONS,PULASAN ROAD,12,1700,2.83
WEST COAST VIEW,WEST COAST VIEW,03,6814,2.84
THE ABERDEEN,JALAN TAMAN,05,7400,2.85
SOUTHBANK,NORTH BRIDGE ROAD,20,2850,2.85
FULTON HILL,FULTON AVENUE,11,3700,2.85
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,19,2850,2.85
SOMMERVILLE REGENCY,LORONG SELANGAT,11,2280,2.85
RESIDENCES BOTANIQUE,YIO CHU KANG ROAD,20,3700,2.85
RIA APARTMENTS,JALAN PASIR RIA,13,2850,2.85
ILLUMINAIRE ON DEVONSHIRE,DEVONSHIRE ROAD,04,6000,2.86
SUITES @ CAIRNHILL,CAIRNHILL ROAD,23,2000,2.86
NON-LANDED HOUSING DEVELOPMENT,PEGU ROAD,23,2000,2.86
TIVOLI LODGE,LORONG 31 GEYLANG,23,2000,2.86
GLOBAL VILLE,JALAN RAJA UDANG,27,4000,2.86
REZI 26,LORONG 26 GEYLANG,15,6000,2.86
CASCADALE,UPPER CHANGI ROAD EAST,15,4000,2.86
GALLOP VILLAS,GALLOP ROAD,08,3150,2.86
SHELFORD REGENCY,SHELFORD ROAD,10,4000,2.86
NON-LANDED HOUSING DEVELOPMENT,DRAYCOTT PARK,10,4000,2.86
THE RAINFOREST,CHOA CHU KANG AVENUE 3,10,4000,2.86
BALMORAL CREST,BALMORAL CRESCENT,10,4000,2.86
LANDED HOUSING DEVELOPMENT,CRESCENT ROAD,19,2000,2.86
FLORIDIAN,BUKIT TIMAH ROAD,19,2000,2.86
CAIRNHILL PLAZA,CAIRNHILL ROAD,19,2000,2.86
CHNG MANSIONS,ARTHUR ROAD,08,4000,2.86
LANDED HOUSING DEVELOPMENT,GROVE DRIVE,11,3150,2.86
GAMBIR RIDGE,GAMBIR WALK,15,2000,2.86
LANDED HOUSING DEVELOPMENT,FIFTH AVENUE,21,4300,2.87
GRANDEUR 8,ANG MO KIO CENTRAL 3,15,4300,2.87
ONE EIGHTIES RESIDENCES,JOO CHIAT TERRACE,27,2300,2.88
TOH ESTATE,TOH CLOSE,10,3450,2.88
ROYAL COURT,JALAN RAJAWALI,15,2300,2.88
THE ESTRELLA,PASIR PANJANG ROAD,05,4600,2.88
TANAH MERAH GREEN,TANAH MERAH KECHIL RIDGE,05,4600,2.88
CASA CAMBIO,LIM TUA TOW ROAD,15,2300,2.88
WOODSVILLE MANSIONS,WOODSVILLE CLOSE,13,2300,2.88
CAVENAGH LODGE,CAVENAGH ROAD,19,2300,2.88
THE INGLEWOOD,THE INGLEWOOD,11,2300,2.88
DE PARADISO,MARTABAN ROAD,11,2300,2.88
VIDA,PECK HAY ROAD,10,7800,2.89
LIBERTE,SARKIES ROAD,03,6356,2.89
THE WATERSIDE,TANJONG RHU ROAD,10,5200,2.89
BUKIT PASOH CONSERVATION AREA,TEO HONG ROAD,14,2600,2.89
SUNFLOWER COURT,LORONG 6 GEYLANG,18,13000,2.89
LE CRESCENDO,PAYA LEBAR ROAD,23,5200,2.89
DAHLIA PARK CONDOMINIUM,FLORA DRIVE,10,2600,2.89
HILLTOP GROVE,HILLVIEW AVENUE,19,2600,2.89
GARDEN APARTMENTS,ORANGE GROVE ROAD,11,2600,2.89
SARHAD VILLE,LORONG SARHAD,16,2600,2.89
GIDEON'S LODGE,JOO CHIAT LANE,13,2600,2.89
MARINE VILLE,MARINE PARADE,09,5500,2.89
NEWTON 21,NEWTON ROAD,05,2600,2.89
OXLEY MANSION,OXLEY ROAD,09,5800,2.9
LANDED HOUSING DEVELOPMENT,NIVEN ROAD,10,2900,2.9
NON-LANDED HOUSING DEVELOPMENT,CARLISLE ROAD,17,1450,2.9
GALLOP PARK,GALLOP ROAD,23,2900,2.9
2 RVG,RIVER VALLEY GROVE,03,6369,2.9
LANDED HOUSING DEVELOPMENT,SOMMERVILLE ROAD,12,2900,2.9
ARDMORE II,ARDMORE PARK,12,2900,2.9
HEDGES PARK CONDOMINIUM,FLORA DRIVE,12,2900,2.9
CHAPEL LODGE,LORONG STANGEE,15,1450,2.9
PALM GALLERIA,LORONG K TELOK KURAU,21,2900,2.9
THE ARIEL,LORONG 105 CHANGI,19,2900,2.9
THE BEACON,CANTONMENT ROAD,19,2900,2.9
10 SHELFORD,SHELFORD ROAD,11,2900,2.9
LANDED HOUSING DEVELOPMENT,LIM TAI SEE WALK,11,2900,2.9
NON-LANDED HOUSING DEVELOPMENT,GRANGE ROAD,18,2900,2.9
D' FRESCO,JOO CHIAT LANE,10,3200,2.91
JADE VINE GARDENS,KANG CHOO BIN ROAD,10,3200,2.91
LANDED HOUSING DEVELOPMENT,TAMARIND ROAD,10,3200,2.91
BEDOK COURT,BEDOK SOUTH AVENUE 3,10,3200,2.91
SUNFLOWER MANSIONS,LORONG 26 GEYLANG,20,3200,2.91
BEDOK SHOPPING COMPLEX,BEDOK ROAD,20,3200,2.91
SANTA FE MANSIONS,MARGATE ROAD,21,3200,2.91
SUNHAVEN,UPPER CHANGI ROAD EAST,19,3200,2.91
NON-LANDED HOUSING DEVELOPMENT,ANAMALAI AVENUE,19,3200,2.91
MAYFAIR RESIDENCES,EAST COAST ROAD,19,3200,2.91
THE ANCHORAGE,ALEXANDRA ROAD,18,3200,2.91
THE QUARTZ,COMPASSVALE BOW,18,3200,2.91
LANDED HOUSING DEVELOPMENT,MEYER ROAD,10,3500,2.92
CANARY VILLE,LORONG J TELOK KURAU,03,7000,2.92
LANDED HOUSING DEVELOPMENT,JALAN NAGA SARI,21,3800,2.92
PARC EMILY,MOUNT EMILY ROAD,14,1750,2.92
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,15,1750,2.92
LUXE VILLE,PASIR PANJANG ROAD,17,1750,2.92
HOLLANDIA,HOLLAND ROAD,17,1750,2.92
MIRAMAR GARDENS,JALAN NAUNG,10,3500,2.92
AALTO,MEYER ROAD,10,3500,2.92
THE BEVERLY,TOH TUCK ROAD,19,3500,2.92
HILLCREST VILLA,HILLCREST ROAD,20,3800,2.92
NEWTON GEMS,NEWTON ROAD,20,3800,2.92
NON-LANDED HOUSING DEVELOPMENT,RAMBUTAN ROAD,15,7900,2.93
SHELFORD 23,SHELFORD ROAD,11,4100,2.93
LANDED HOUSING DEVELOPMENT,HAIG ROAD,19,2050,2.93
WEST COAST GARDENS,WEST COAST AVENUE,11,5876,2.94
SEASONS PARK,YIO CHU KANG ROAD,11,5876,2.94
76 SHENTON,SHENTON WAY,05,5300,2.94
EASTWOOD CENTRE,EASTWOOD ROAD,04,5000,2.94
MACKENZIE 88,MACKENZIE ROAD,04,5000,2.94
KATONG PARK TOWERS,ARTHUR ROAD,04,5000,2.94
THE PANORAMA,ANG MO KIO AVENUE 2,10,5300,2.94
LANDED HOUSING DEVELOPMENT,BEGONIA DRIVE,11,5000,2.94
AMPAS COURT,JALAN AMPAS,13,2650,2.94
BEDOK PESARI,JALAN GREJA,10,5600,2.95
NON-LANDED HOUSING DEVELOPMENT,LORONG 11 GEYLANG,10,3250,2.95
THE SKYWOODS,DAIRY FARM HEIGHTS,11,6500,2.95
COTE D'AZUR,MARINE PARADE ROAD,10,5600,2.95
CHAPEL COURT,SEA AVENUE,19,2950,2.95
LA FIESTA,SENGKANG SQUARE,03,4141,2.96
GARDENVISTA,DUNEARN ROAD,19,14850,2.97
ELLIOT AT THE EAST COAST,ELLIOT ROAD,15,3000,3.0
DAISY PARK,DAISY AVENUE,09,3900,3.0
LANDED HOUSING DEVELOPMENT,YUNNAN WALK,11,3000,3.0
SHEPHERD'S HILL ESTATE,BARBARY WALK,11,6000,3.0
PARKVIEW ECLAT,GRANGE ROAD,10,10500,3.0
CITYSCAPE @FARRER PARK,MERGUI ROAD,10,3300,3.0
CLOVER BY THE PARK,BISHAN STREET 25,10,3300,3.0
NON-LANDED HOUSING DEVELOPMENT,ROBIN ROAD,23,1800,3.0
SOPHIA 98,SOPHIA ROAD,23,1800,3.0
NIN RESIDENCE,PHENG GECK AVENUE,23,1800,3.0
TREESCAPE,LORONG N TELOK KURAU,23,1800,3.0
THE PLAZA,BEACH ROAD,23,1800,3.0
MY MANHATTAN,SIMEI STREET 3,23,1800,3.0
D'WEAVE,LORONG 39 GEYLANG,27,1800,3.0
PARC MACKENZIE,MACKENZIE ROAD,27,2100,3.0
FABER HILLS,FABER DRIVE,15,8100,3.0
LANDED HOUSING DEVELOPMENT,SUNSET HEIGHTS,10,3900,3.0
MANDAI GARDEN,MENG SUAN ROAD,15,1800,3.0
GRANGE HEIGHTS,GRANGE ROAD,17,1500,3.0
DE CENTURION,TANJONG RHU ROAD,03,4500,3.0
LANDED HOUSING DEVELOPMENT,JALAN JELITA,16,2400,3.0
FLYNN PARK,YEW SIANG ROAD,15,2700,3.0
THE BOTANIC ON LLOYD,LLOYD ROAD,10,3300,3.0
FLORISSA PARK,FLORISSA PARK,10,4200,3.0
VIVA,SUFFOLK WALK,10,4200,3.0
THE LUXURIE,COMPASSVALE ROAD,10,3300,3.0
CENTRAL VIEW,HOUGANG STREET 11,10,5400,3.0
LATITUDE,JALAN MUTIARA,10,3300,3.0
EAST COAST TERRACE,UPPER EAST COAST ROAD,10,4200,3.0
FERNHILL PLACE,FERNHILL ROAD,10,4200,3.0
PEIRCE VIEW,UPPER THOMSON ROAD,21,4200,3.0
RIPPLE BAY,PASIR RIS LINK,21,4500,3.0
REGENT VILLAS,JALAN LIM TAI SEE,12,4200,3.0
1 NASSIM,NASSIM ROAD,12,4200,3.0
LE SOMME,SOMME ROAD,14,1800,3.0
D'ECOSIA,STILL ROAD SOUTH,20,3000,3.0
LANDED HOUSING DEVELOPMENT,CLUNY ROAD,20,2100,3.0
THE COUNTRYSIDE,COUNTRYSIDE GROVE,09,3300,3.0
LANDED HOUSING DEVELOPMENT,GREENLEAF VIEW,09,3000,3.0
PARC SOMME,SOMME ROAD,15,2100,3.0
NOMU,HANDY ROAD,15,1800,3.0
RIVA LODGE,LEONIE HILL,14,1500,3.0
ESPANA,DYSON ROAD,18,12000,3.0
SPRING PARK ESTATE,PRIMROSE AVENUE,17,1800,3.0
THE CHANCERY RESIDENCE,CHANCERY LANE,10,5400,3.0
QUBE SUITES,JALAN PUNAI,10,3600,3.0
COASTAL VIEW RESIDENCES,JALAN LOYANG BESAR,15,1500,3.0
SELETAR HILLS ESTATE,JALAN ANTOI,09,5100,3.0
NON-LANDED HOUSING DEVELOPMENT,SING JOO WALK,04,4800,3.0
LEGENDA AT JOO CHIAT,JOO CHIAT LANE,19,2700,3.0
WIMBORNE VILLAS,WIMBORNE ROAD,21,3900,3.0
LANDED HOUSING DEVELOPMENT,NAROOMA ROAD,19,3000,3.0
LE ARC,LORONG 26 GEYLANG,19,3000,3.0
LAKEVIEW ESTATE,UPPER THOMSON ROAD,19,3000,3.0
NON-LANDED HOUSING DEVELOPMENT,GEYLANG ROAD,19,3000,3.0
LANDED HOUSING DEVELOPMENT,JALAN YASIN,14,1800,3.0
LANDED HOUSING DEVELOPMENT,WOLSKEL ROAD,15,2100,3.0
THE SPRINGSIDE,SPRINGSIDE LINK,19,2400,3.0
KINGSTON TERRACE,JALAN MASJID,19,1800,3.0
NORTHVALE,CHOA CHU KANG LOOP,19,2700,3.0
PEPYS HILL CONDOMINIUM,PEPYS ROAD,19,2700,3.0
ECO,BEDOK SOUTH AVENUE 3,19,1800,3.0
LANDED HOUSING DEVELOPMENT,FLORENCE ROAD,08,3000,3.0
